adopt-imaging-parallel;adopt-imaging-single;adopt-pure;amazoncorretto-imaging-parallel;amazoncorretto-imaging-single;amazoncorretto-pure;graaljdk-imaging-parallel;graaljdk-imaging-single;graaljdk-pure;openjdk-imaging-parallel;openjdk-imaging-single;openjdk-opencv;openjdk-openimaj;openjdk-pure;zulu-imaging-parallel;zulu-imaging-single;zulu-pure;python-pure-simple;python-with-itertools;python-pure-simple-with-numba;python-pure-simple-with-numba-parallel;python-itertools-with-numba;python-with-numpy;python-with-numpy-with-numba;python-with-numpy-with-numba-parallel;python-with-numpy-and-scipy;python-with-opencv
121;267;237;103;257;235;102;228;165;126;270;0.3811;30;235;122;279;247;14380;13135;238;193;3347;8569;83;91.12;34;4.63
134;268;236;115;259;232;103;225;163;127;267;0.3939;30;236;134;277;247;;;239;109;3341;;83;3.82;34;4.57
120;266;239;102;258;232;115;225;163;112;267;0.3803;30;236;134;277;246;;;236;99;3348;;83;3.87;34;4.69
134;267;236;130;259;231;113;226;162;126;267;0.3933;30;235;135;279;246;;;239;200;3343;;83;91.34;34;4.64
134;268;237;102;257;234;103;225;163;126;265;0.3803;30;236;135;278;247;;;237;97;3360;;83;4.11;34;4.63
121;268;237;102;259;231;102;226;163;126;265;0.3935;34;260;134;278;247;;;236;198;3340;;83;4.11;33;4.57
121;268;238;116;257;230;113;225;164;112;265;0.3777;30;237;135;277;270;;;236;195;3378;;83;91.32;34;4.63
129;267;237;102;258;231;113;226;163;126;266;0.4037;30;233;135;280;247;;;237;112;3356;;83;4.15;34;4.60
142;269;235;103;258;234;103;227;163;127;263;0.3786;30;234;135;277;246;;;236;97;3355;;83;4.13;34;4.55
126;272;235;106;258;231;103;226;163;125;264;0.3868;30;234;134;278;246;;;236;188;3347;;83;91.22;34;4.64
127;266;237;115;259;231;113;225;162;132;263;0.3901;31;234;123;277;246;;;237;111;3356;;83;3.88;34;4.66
112;266;240;115;258;230;103;226;164;125;263;0.3811;30;236;135;280;246;;;237;199;3343;;83;3.88;34;4.65
127;268;236;101;257;230;104;226;163;126;263;0.3934;35;235;134;277;247;;;236;195;3349;;83;91.13;34;4.55
128;266;238;101;259;231;114;227;163;125;264;0.3807;30;234;136;277;245;;;237;108;3343;;83;4.12;34;4.62
116;267;237;116;258;230;103;226;162;126;264;0.3941;31;234;138;280;247;;;236;198;3346;;83;4.13;34;4.78
128;267;240;116;288;229;115;226;162;126;264;0.3811;30;234;136;277;246;;;236;197;3348;;83;4.12;34;4.59
127;267;237;102;263;230;114;226;163;126;263;0.3929;31;234;136;277;246;;;236;197;3340;;83;90.40;34;4.58
126;267;237;102;262;230;114;225;163;137;265;0.3927;30;234;122;276;248;;;236;196;3350;;83;3.38;34;4.60
126;266;237;115;259;230;114;229;163;112;263;0.3936;30;233;138;277;247;;;236;101;3340;;83;3.38;34;4.67
112;267;240;102;258;230;104;225;164;112;289;0.3805;35;234;121;275;247;;;236;110;3355;;83;90.83;34;4.58
114;268;237;115;260;231;115;225;163;126;267;0.3853;30;234;136;306;246;;;236;199;3345;;83;4.22;34;4.69
127;266;236;116;259;231;115;224;162;127;266;0.3806;31;234;124;280;247;;;237;102;3357;;83;4.13;34;4.56
128;267;238;105;259;232;114;227;164;140;266;0.3808;30;234;135;280;246;;;236;190;3350;;83;91.28;34;4.66
115;268;238;109;259;230;114;236;162;125;266;0.3805;30;234;121;277;246;;;236;108;3357;;83;3.90;34;4.56
114;267;237;102;259;230;104;225;163;126;266;0.381;31;233;136;277;247;;;240;197;3358;;83;3.91;34;4.63
127;267;236;123;260;230;115;224;164;125;267;0.3938;30;235;123;278;246;;;243;197;3343;;83;3.92;34;4.62
113;267;237;116;258;232;104;225;163;111;266;0.3811;35;234;135;277;246;;;240;200;3349;;83;91.34;34;4.61
126;270;239;115;258;230;104;226;176;112;266;0.4029;30;233;135;277;246;;;236;102;3357;;84;4.19;34;4.61
127;266;239;115;259;230;113;224;164;126;266;0.3817;30;234;135;275;248;;;236;198;3370;;83;4.11;34;4.61
127;266;237;102;260;231;114;224;163;112;271;0.4062;31;234;125;277;246;;;236;105;3361;;83;90.51;34;4.65
127;266;236;116;258;234;114;226;163;126;269;0.3807;30;234;123;275;248;;;236;197;3344;;83;4.10;34;4.56
127;267;236;116;258;257;115;226;164;127;266;0.4231;31;232;124;278;247;;;237;197;3359;;83;4.09;34;4.64
113;267;240;115;260;234;113;225;163;128;267;0.3818;30;234;139;279;247;;;236;196;3371;;83;91.28;34;4.63
127;266;237;102;259;233;114;224;166;127;267;0.3938;35;234;134;276;247;;;236;100;3368;;83;4.06;34;4.68
127;267;237;116;257;233;113;225;163;126;269;0.3809;30;235;136;278;247;;;237;111;3359;;83;4.07;34;4.57
127;266;236;102;258;236;119;226;163;127;267;0.3811;30;235;120;278;246;;;236;197;3368;;83;91.40;34;4.59
113;267;235;116;260;233;113;226;162;125;269;0.3808;30;235;135;279;247;;;236;193;3365;;83;4.13;33;4.58
128;266;236;114;260;232;103;225;165;140;266;0.3913;30;235;146;277;246;;;236;111;3364;;83;4.08;33;4.67
128;267;254;116;258;231;114;225;163;138;265;0.3939;31;235;135;277;247;;;236;190;3367;;83;91.38;33;4.59
126;267;237;102;258;233;114;224;163;125;265;0.3809;30;235;120;277;246;;;236;99;3364;;83;3.96;34;4.60
126;266;238;104;261;232;114;226;163;112;266;0.3936;34;235;121;277;249;;;236;110;3368;;83;3.91;34;4.62
126;266;237;115;258;232;113;224;162;142;266;0.3845;30;235;134;278;248;;;237;189;3360;;83;3.91;34;4.62
114;267;236;116;258;232;113;226;163;126;264;0.3988;31;235;134;277;248;;;237;111;3359;;83;91.12;34;4.60
127;268;236;115;258;235;104;225;164;139;266;0.3811;31;234;120;278;248;;;237;199;3347;;83;4.09;34;4.58
114;266;237;116;261;233;103;226;163;124;266;0.3938;30;234;135;278;250;;;237;101;3338;;83;4.06;34;4.65
129;270;239;116;261;230;114;226;163;111;269;0.3802;30;236;136;278;247;;;236;198;3339;;83;91.29;34;4.62
128;266;237;109;257;231;114;225;162;127;266;0.386;31;235;121;277;248;;;239;195;3357;;83;4.09;34;4.61
126;265;236;102;258;231;103;226;163;111;265;0.3935;34;235;134;278;246;;;236;196;3339;;83;4.09;34;4.58
127;265;236;112;260;233;106;226;162;133;268;0.3971;31;235;135;278;248;;;236;101;3348;;83;91.00;34;4.62
112;266;239;116;284;232;104;227;162;114;263;0.3936;30;236;134;277;246;;;237;111;3342;;83;3.32;34;4.64
128;266;235;102;261;232;113;226;163;112;264;0.3801;30;234;134;278;247;;;237;195;3355;;83;3.37;34;4.56
127;265;236;103;258;231;103;225;163;112;263;0.3938;30;235;121;279;273;;;236;195;3345;;83;3.39;34;4.64
113;266;236;115;261;234;105;225;162;126;264;0.3806;30;258;135;277;250;;;236;99;3348;;83;90.77;34;4.61
127;266;239;116;259;231;103;226;163;111;264;0.3934;30;236;124;279;250;;;236;207;3352;;83;3.34;34;4.64
113;265;237;116;259;231;113;227;163;111;264;0.3889;35;237;122;278;250;;;236;197;3342;;83;3.37;34;4.61
114;267;234;103;258;232;105;227;163;127;264;0.3859;31;237;122;277;247;;;236;102;3348;;83;91.05;34;4.60
128;265;234;104;262;233;105;225;164;114;267;0.4708;31;236;135;277;249;;;237;198;3351;;83;4.18;34;4.67
126;267;236;103;261;232;104;226;162;126;265;0.387;30;235;122;276;248;;;236;101;3344;;83;4.11;33;4.58
113;265;235;102;259;231;116;228;162;111;266;0.3934;30;235;135;279;248;;;236;197;3346;;83;91.49;34;4.60
127;270;235;102;259;232;114;226;163;126;266;0.3805;30;236;121;277;247;;;236;196;3338;;83;4.11;34;4.60
112;266;234;116;262;232;114;226;163;125;289;0.393;30;236;122;278;251;;;238;110;3352;;83;4.11;34;4.64
127;267;236;120;262;236;103;227;162;126;265;0.3804;34;236;135;278;248;;;236;99;3342;;83;91.32;34;4.60
127;267;239;115;259;232;114;227;164;112;266;0.4176;30;237;134;279;247;;;235;198;3349;;83;4.18;34;4.62
113;266;244;116;260;233;114;228;162;126;267;0.3806;31;235;135;277;255;;;236;195;3346;;83;4.12;34;4.57
127;266;245;116;260;233;103;226;164;127;265;0.3932;30;237;134;277;257;;;236;102;3356;;83;91.33;33;4.82
113;266;242;117;260;232;105;226;164;127;265;0.3804;30;236;134;279;254;;;237;199;3366;;83;4.04;34;4.58
127;265;239;116;260;231;115;226;163;113;264;0.3805;30;236;133;277;253;;;236;201;3348;;83;3.46;34;4.62
127;265;236;102;261;230;118;226;163;112;266;0.3929;31;236;135;278;253;;;236;197;3351;;83;3.37;34;4.58
113;267;235;116;260;231;104;229;179;112;264;0.3802;35;236;134;277;251;;;237;109;3350;;83;91.20;34;4.69
127;270;234;116;261;230;102;226;164;127;264;0.397;30;236;134;280;250;;;239;99;3354;;83;4.26;34;4.67
114;266;237;120;260;232;113;225;163;127;264;0.391;31;237;134;277;246;;;237;196;3344;;83;4.09;33;4.61
126;266;234;103;262;230;114;225;164;112;264;0.3928;30;236;135;278;247;;;236;198;3358;;83;90.67;34;4.61
127;266;235;115;261;254;114;227;163;128;267;0.3805;30;236;121;278;247;;;236;104;3360;;83;3.39;34;4.66
113;266;235;116;259;230;103;235;163;131;265;0.3804;30;236;121;278;248;;;236;198;3369;;83;3.34;34;4.59
128;267;236;102;260;233;113;226;165;113;264;0.3804;30;237;121;277;248;;;236;196;3370;;83;3.34;34;4.56
126;266;235;102;260;230;103;224;165;126;265;0.3806;35;236;122;278;246;;;236;112;3365;;83;91.27;34;4.68
127;267;234;115;260;232;105;227;166;127;264;0.4216;30;237;139;281;247;;;236;193;3339;;83;4.15;34;4.66
127;267;234;116;260;231;114;226;163;126;264;0.3806;30;236;136;277;245;;;237;199;3341;;83;4.09;34;4.63
127;267;235;102;260;232;113;226;164;126;266;0.3932;31;235;142;279;246;;;236;104;3354;;83;91.49;34;4.56
125;267;237;109;261;232;103;225;164;125;264;0.3805;30;236;142;281;247;;;236;200;3343;;83;4.13;34;4.69
127;270;234;116;260;231;114;227;165;129;265;0.3934;31;235;137;281;247;;;236;195;3347;;83;4.12;34;4.61
112;271;234;102;260;230;113;226;165;112;264;0.3914;30;236;136;276;247;;;236;199;3347;;83;90.98;34;4.59
114;266;235;116;260;231;118;225;163;112;265;0.3802;35;235;136;276;249;;;236;103;3345;;83;3.27;34;4.60
112;265;237;101;289;236;113;226;164;126;263;0.393;31;235;122;277;245;;;236;199;3343;;83;3.33;34;4.61
126;268;256;115;260;232;113;226;163;127;263;0.3805;30;236;137;276;246;;;235;197;3352;;83;3.35;34;4.62
113;268;235;116;259;230;114;227;163;112;264;0.393;30;236;122;279;246;;;236;198;3351;;83;91.35;34;4.55
112;267;235;116;258;231;114;227;166;126;264;0.3809;31;236;136;293;246;;;236;100;3355;;83;4.12;34;4.65
128;268;236;102;260;232;113;225;165;125;264;0.3939;30;236;135;278;245;;;236;112;3353;;83;4.13;34;4.62
113;267;236;102;258;231;114;226;164;126;264;0.3809;30;237;140;276;245;;;237;197;3340;;83;90.42;34;4.63
123;267;235;129;259;231;103;226;163;112;264;0.3937;35;236;136;276;246;;;236;197;3347;;83;4.16;34;4.56
113;267;235;115;259;230;115;226;162;126;265;0.3804;30;238;136;277;247;;;235;102;3342;;84;4.08;34;4.63
113;267;235;115;259;231;114;226;163;112;264;0.3804;31;236;137;277;246;;;236;201;3346;;83;91.34;34;4.62
114;269;234;102;259;235;102;226;163;126;264;0.3965;30;237;124;276;247;;;237;193;3337;;83;4.08;34;4.64
113;267;235;102;258;231;103;225;164;113;268;0.3935;30;237;137;276;247;;;238;108;3355;;83;4.07;34;4.59
112;267;234;115;260;230;104;227;163;140;267;0.3805;31;238;136;276;246;;;237;195;3349;;83;91.41;34;4.58
127;268;235;102;259;231;114;226;163;112;265;0.3807;30;236;135;275;246;;;238;197;3349;;83;4.19;34;4.69
127;267;236;101;259;232;114;226;163;112;265;0.3958;35;236;135;275;273;;;236;100;3357;;83;4.10;35;4.56
126;266;234;115;260;231;113;224;161;127;266;0.3806;30;236;163;276;249;;;236;111;3364;;83;91.38;34;4.61
112;266;235;115;260;231;105;226;162;127;266;0.403;30;236;135;275;247;;;237;191;3353;;83;3.76;34;4.58
113;267;235;102;263;231;104;226;164;112;266;0.3806;30;259;122;274;246;;;236;197;3356;;83;3.33;33;4.77
113;268;237;116;262;232;106;225;162;126;265;0.3933;31;236;122;275;247;;;236;100;3345;;83;3.37;34;4.65
114;266;235;102;259;231;114;224;163;112;291;0.3808;30;236;135;275;248;;;236;202;3339;;83;91.03;34;4.65
